subject_id,preset_name,session_index_0based,session_frac,is_eval,param_biasL,param_learn_rate,param_learn_rate_rew,param_softmax_inverse_temperature,param_epsilon
synth000,Bari2019,0,0.0,False,0.8585025716686541,0.6918033392514339,,2.346011450511339,
synth000,Bari2019,1,0.0256410256410256,False,1.0219037218447418,0.6783942956141206,,4.356079812616616,
synth000,Bari2019,2,0.0512820512820512,False,0.7194706972035755,0.6575207199091176,,4.693912537389651,
synth000,Bari2019,3,0.0769230769230769,False,0.6958542594056183,0.764942791255725,,4.676519100282362,
synth000,Bari2019,4,0.1025641025641025,False,0.6544672696220681,0.7243054330742725,,2.777804336308487,
synth000,Bari2019,5,0.1282051282051282,False,0.691430192973075,0.8022970634390431,,6.398355130355871,
synth000,Bari2019,6,0.1538461538461538,False,0.8063135451611737,0.8193325226550827,,6.8745216231570625,
synth000,Bari2019,7,0.1794871794871795,False,0.7768135199716928,0.7417171320122927,,7.842116690462257,
synth000,Bari2019,8,0.2051282051282051,False,0.6007308510629821,0.7498663804934403,,7.186760161960236,
synth000,Bari2019,9,0.2307692307692307,False,0.546246107959986,0.80848124676501,,7.099364394220509,
synth000,Bari2019,10,0.2564102564102564,False,0.668982057414838,0.7714133114242285,,8.559021210589792,
synth000,Bari2019,11,0.282051282051282,False,0.4907362754087251,0.8172602046689504,,9.010974373704324,
synth000,Bari2019,12,0.3076923076923077,False,0.7459013379940163,0.6937042492873868,,6.506834672392252,
synth000,Bari2019,13,0.3333333333333333,False,0.4752121992204382,0.8739914656528186,,9.371971427351353,
synth000,Bari2019,14,0.358974358974359,False,0.635591494464048,0.8963045875621534,,8.659570554602748,
synth000,Bari2019,15,0.3846153846153846,False,0.4827255381261057,0.8932668408325514,,2.7091393116686993,
synth000,Bari2019,16,0.4102564102564102,False,0.4010774487048152,0.9841646991953736,,8.244750585807694,
synth000,Bari2019,17,0.4358974358974359,False,0.3775843187653764,0.9013335134091244,,6.009610841494348,
synth000,Bari2019,18,0.4615384615384615,False,0.4333945726172501,0.8819887911022817,,5.7746880701387155,
synth000,Bari2019,19,0.4871794871794871,False,0.3482117324862076,0.87646134163085,,2.842158759639956,
synth000,Bari2019,20,0.5128205128205128,False,0.591492938638928,1.0,,0.4127759058333144,
synth000,Bari2019,21,0.5384615384615384,False,0.3894540108516088,0.9719896581994412,,0.1122350656923445,
synth000,Bari2019,22,0.5641025641025641,False,0.2840969973293236,1.0,,3.5174621205289127,
synth000,Bari2019,23,0.5897435897435898,False,0.5152699660709763,0.9847447019374272,,0.3473693721372924,
synth000,Bari2019,24,0.6153846153846154,False,0.3312393468582565,1.0,,0.403447922475116,
synth000,Bari2019,25,0.6410256410256411,False,0.6805275486334501,1.0,,1.1916035787650383,
synth000,Bari2019,26,0.6666666666666666,False,0.4906849433490348,1.0,,3.752759392045859,
synth000,Bari2019,27,0.6923076923076923,False,0.3541911840303446,1.0,,0.8437591739658341,
synth000,Bari2019,28,0.717948717948718,False,0.3571289390049595,1.0,,0.0,
synth000,Bari2019,29,0.7435897435897436,False,0.182463047246377,1.0,,0.1060898389528208,
synth000,Bari2019,30,0.7692307692307693,False,0.1521072471207937,1.0,,0.0,
synth000,Bari2019,31,0.7948717948717948,False,0.3362175672724436,1.0,,0.487406233704611,
synth000,Bari2019,32,0.8205128205128205,True,0.1161085496362936,1.0,,0.219790141398288,
synth000,Bari2019,33,0.8461538461538461,True,0.1799235835471131,1.0,,1.4025982085156667,
synth000,Bari2019,34,0.8717948717948718,True,0.3128332925507374,1.0,,4.321186767759331,
synth000,Bari2019,35,0.8974358974358975,True,0.1303266749469426,1.0,,0.2489015872899821,
synth000,Bari2019,36,0.9230769230769232,True,0.3080346488894274,1.0,,1.9804399013171876,
synth000,Bari2019,37,0.9487179487179488,True,0.3427331584950677,1.0,,1.0871467607523269,
synth000,Bari2019,38,0.9743589743589745,True,0.2661539842305803,1.0,,1.504131745069781,
synth000,Bari2019,39,1.0,True,0.4235980590320743,1.0,,4.886914356751971,
synth001,Hattori2019,0,0.0,False,-0.1081577274109394,,0.902759627592604,3.784083228046779,
synth001,Hattori2019,1,0.0256410256410256,False,-0.4619342954892937,,0.890729966340737,3.320212825763822,
